epoch,phase,mean_loss,precision,recall,accuracy
0,train,0.814402,0.382401,0.484787,0.986193
1,train,0.582641,0.665445,0.783093,0.993506
0,train,0.717861,0.558253,0.628246,0.990759
1,train,0.530837,0.708393,0.801113,0.994377
2,train,0.462656,0.778068,0.824993,0.995636
3,train,0.437103,0.811371,0.848120,0.996288
4,train,0.410216,0.828564,0.863081,0.996644
4,val,0.422342,0.800757,0.823900,0.996443
5,train,0.380009,0.851087,0.877548,0.997065
6,train,0.366076,0.856160,0.881284,0.997163
7,train,0.351845,0.866936,0.885919,0.997340
8,train,0.338511,0.873247,0.891737,0.997472
9,train,0.342439,0.866537,0.887016,0.997345
9,val,0.422600,0.816959,0.812209,0.996549
10,train,0.332708,0.874585,0.895382,0.997522
11,train,0.316693,0.884595,0.901246,0.997699
12,train,0.316484,0.884743,0.902129,0.997709
13,train,0.305163,0.892589,0.905675,0.997838
14,train,0.295343,0.895450,0.908091,0.997895
14,val,0.398178,0.788330,0.878924,0.996667
15,train,0.287872,0.899117,0.913067,0.997986
16,train,0.278430,0.903785,0.916377,0.998073
17,train,0.275537,0.905281,0.917454,0.998101
18,train,0.268978,0.909054,0.919373,0.998164
19,train,0.267184,0.904109,0.914657,0.998061
19,val,0.397673,0.824761,0.849588,0.996911
20,train,0.271242,0.899654,0.908281,0.997947
21,train,0.260632,0.906945,0.918515,0.998131
22,train,0.254695,0.906034,0.916712,0.998103
23,train,0.248093,0.912999,0.922790,0.998244
24,train,0.246889,0.917083,0.927172,0.998334
24,val,0.402721,0.848495,0.823371,0.996979
25,train,0.243830,0.918861,0.927292,0.998356
26,train,0.239743,0.921516,0.929936,0.998412
27,train,0.240722,0.919633,0.929312,0.998384
28,train,0.236218,0.921570,0.931244,0.998426
29,train,0.233265,0.923786,0.931431,0.998453
29,val,0.393112,0.811707,0.863113,0.996854
30,train,0.231451,0.922317,0.931204,0.998434
31,train,0.225264,0.927013,0.935452,0.998530
32,train,0.223051,0.928555,0.934864,0.998542
33,train,0.219116,0.928113,0.936077,0.998549
34,train,0.216295,0.930137,0.937922,0.998591
34,val,0.392371,0.826478,0.846055,0.996905
35,train,0.214972,0.931508,0.937930,0.998606
36,train,0.210368,0.932469,0.939048,0.998628
37,train,0.208201,0.932933,0.939592,0.998639
38,train,0.210392,0.931114,0.938076,0.998603
39,train,0.211362,0.931586,0.938351,0.998611
39,val,0.409319,0.823363,0.838490,0.996814
