epoch,phase,mean_loss,precision,recall,accuracy
0,train,0.865655,0.261728,0.385355,0.989219
1,train,0.817351,0.295289,0.397682,0.990171
2,train,0.795609,0.332493,0.428534,0.990928
3,train,0.756306,0.434793,0.610750,0.992504
4,train,0.773163,0.428042,0.538837,0.992516
4,val,0.818482,0.286151,0.264183,0.992219
5,train,0.792141,0.321498,0.401018,0.990843
6,train,0.794487,0.326730,0.426908,0.990795
7,train,0.767785,0.364500,0.475094,0.991426
0,train,0.916857,0.205502,0.264775,0.988856,
0,train,0.890631,0.121291,0.080548,0.990477,
1,train,0.869406,0.227374,0.350769,0.988335,
2,train,0.821976,0.284450,0.373685,0.990076,
3,train,0.810125,0.295793,0.391895,0.990236,
4,train,0.792970,0.289330,0.432575,0.989673,
4,val,0.793379,0.311571,0.385855,0.991818,0.960819
5,train,0.776635,0.327382,0.470628,0.990520,
6,train,0.763334,0.350096,0.493099,0.990989,
7,train,0.751597,0.384060,0.534973,0.991618,
8,train,0.744253,0.394834,0.527561,0.991884,
9,train,0.731503,0.410235,0.561088,0.992108,
9,val,0.752135,0.516090,0.411799,0.994565,0.960902
10,train,0.745380,0.420114,0.560024,0.992315,
11,train,0.724719,0.453816,0.589777,0.992904,
12,train,0.674912,0.444734,0.338541,0.993131,
13,train,0.608661,0.360099,0.285417,0.992259,
14,train,0.553453,0.394383,0.362360,0.992434,
14,val,0.514077,0.401390,0.331028,0.993515,0.762691
15,train,0.589205,0.365056,0.352047,0.992015,
16,train,0.640130,0.360609,0.116070,0.993096,
17,train,0.723728,0.340502,0.192189,0.992523,
18,train,0.655302,0.372742,0.292515,0.992399,
19,train,0.678953,0.366968,0.299410,0.992289,
19,val,0.706697,0.407770,0.103396,0.994161,0.810130
20,train,0.703548,0.314684,0.300613,0.991421,
21,train,0.780985,0.303630,0.333891,0.990928,
22,train,0.777437,0.350467,0.167739,0.992757,
23,train,0.705002,0.321417,0.086877,0.993052,
24,train,0.570899,0.373401,0.199021,0.992809,
24,val,0.641106,0.257870,0.388303,0.990354,0.932092
25,train,0.569599,0.361527,0.324080,0.992091,
26,train,0.575073,0.350014,0.194518,0.992608,
27,train,0.578249,0.340730,0.249316,0.992187,
28,train,0.580320,0.384058,0.294910,0.992536,
29,train,0.738165,0.336822,0.383397,0.991311,
29,val,0.512869,0.417767,0.317262,0.993725,0.863080
30,train,0.542900,0.442128,0.250571,0.993249,
31,train,0.599722,0.410492,0.265967,0.992929,
32,train,0.526970,0.416047,0.268547,0.992977,
33,train,0.526538,0.433045,0.284256,0.993107,
34,train,0.555343,0.388699,0.361986,0.992351,
34,val,0.509420,0.492068,0.246777,0.994377,0.825232
