dataset,split,index,gt_present,pred_present_instance,pred_present_area,image_score,max_prob,pred_fg_fraction,pixel_f1,pixel_iou,pixel_precision,pixel_recall
landslide4sense,val,0,1,1,1,1.0,1.0,0.034881591796875,0.3625417947769165,0.22140522301197052,0.23709535598754883,0.7698863744735718
landslide4sense,val,1,1,1,1,1.0,1.0,0.006622314453125,0.4259520471096039,0.2706093192100525,0.695852518081665,0.30691057443618774
landslide4sense,val,2,1,1,1,1.0,1.0,0.0203704833984375,0.8542459011077881,0.7455752491950989,0.7573033571243286,0.979651153087616
landslide4sense,val,3,1,1,1,1.0,1.0,0.1470947265625,0.8129537105560303,0.68485426902771,0.7434647083282471,0.8967717885971069
landslide4sense,val,4,0,0,0,0.0,0.00994991883635521,0.0,1.0,1.0,1.0,1.0
landslide4sense,val,5,1,1,1,1.0,1.0,0.0025177001953125,0.6744868159294128,0.508849561214447,0.6969696879386902,0.6534090638160706
landslide4sense,val,6,1,1,1,1.0,1.0,0.11187744140625,0.8430923819541931,0.7287465333938599,0.7540916800498962,0.9559128880500793
landslide4sense,val,7,0,0,0,0.0,0.0007942572119645774,0.0,1.0,1.0,1.0,1.0
landslide4sense,val,8,1,1,1,1.0,1.0,0.1132659912109375,0.8547213673591614,0.7462999224662781,0.815169095993042,0.8983076214790344
landslide4sense,val,9,0,0,0,0.0,0.2876814603805542,0.0,1.0,1.0,1.0,1.0
landslide4sense,val,10,1,1,1,1.0,1.0,0.0019378662109375,0.4780876636505127,0.3141361176967621,0.4724409580230713,0.4838709533214569
landslide4sense,val,11,1,1,1,1.0,1.0,0.0027008056640625,0.3580952286720276,0.21809744834899902,0.5310734510421753,0.270114928483963
landslide4sense,val,12,1,1,1,1.0,1.0,0.0695037841796875,0.7425582408905029,0.5905309319496155,0.8570801019668579,0.655033528804779
landslide4sense,val,13,1,1,1,1.0,1.0,0.12860107421875,0.8411778807640076,0.7258904576301575,0.8270052075386047,0.8558447957038879
landslide4sense,val,14,1,1,1,1.0,1.0,0.1149749755859375,0.8797377347946167,0.7852962613105774,0.854810893535614,0.9061620831489563
landslide4sense,val,15,1,1,1,1.0,1.0,0.0081787109375,0.5104712247848511,0.34270650148391724,0.7276119589805603,0.3931451737880707
landslide4sense,val,16,1,1,1,1.0,1.0,0.0047760009765625,0.2675535976886749,0.154436856508255,0.5782747864723206,0.17403845489025116
landslide4sense,val,17,1,1,1,1.0,1.0,0.03656005859375,0.6029411554336548,0.43157893419265747,0.6673622727394104,0.5498624444007874
landslide4sense,val,18,0,0,0,0.0,0.0005070122424513102,0.0,1.0,1.0,1.0,1.0
landslide4sense,val,19,1,1,1,1.0,1.0,0.042755126953125,0.7843866348266602,0.6452599167823792,0.6777302026748657,0.9308823347091675
landslide4sense,val,20,1,1,1,1.0,1.0,0.0138092041015625,0.7584569454193115,0.6108986735343933,0.7060773372650146,0.8192307949066162
landslide4sense,val,21,1,1,1,0.9999946355819702,0.9999946355819702,0.0040740966796875,0.7762906551361084,0.6343749761581421,0.7602996230125427,0.79296875
landslide4sense,val,22,0,0,0,0.0,0.0035245318431407213,0.0,1.0,1.0,1.0,1.0
landslide4sense,val,23,0,0,0,0.0,0.0025144803803414106,0.0,1.0,1.0,1.0,1.0
landslide4sense,val,24,1,1,1,1.0,1.0,0.0702362060546875,0.7481345534324646,0.5976157784461975,0.7514664530754089,0.7448320388793945
landslide4sense,val,25,1,0,0,0.0,0.8062030673027039,7.62939453125e-05,0.056497178971767426,0.029069773852825165,1.0,0.029069773852825165
landslide4sense,val,26,0,0,0,0.0,0.0004589673480950296,0.0,1.0,1.0,1.0,1.0
